provinsi,jenis,daerah,tahun,periode,gk,encoded_jenis,encoded_daerah,scaled_gk,cluster,PC1,PC2,gk_original
ACEH,MAKANAN,PERKOTAAN,2015,MARET,293697.0,0,2,-0.06574591899113585,5,-0.46289271331655346,1.2240692080930586,293697.0
ACEH,MAKANAN,PERKOTAAN,2015,SEPTEMBER,302128.0,0,2,-0.011440660980292758,5,-0.4150905362330086,1.225095658729928,302128.0
ACEH,MAKANAN,PERKOTAAN,2016,MARET,306243.0,0,2,0.015064633375610375,5,-0.39175926370320346,1.225596648454838,306243.0
ACEH,MAKANAN,PERKOTAAN,2016,SEPTEMBER,319768.0,0,2,0.1021810625769688,5,-0.3150750690578537,1.2272432793246821,319768.0
ACEH,MAKANAN,PERDESAAN,2015,MARET,297479.0,0,0,-0.04138552451871163,0,-0.6325079226538548,-0.7188479215039264,297479.0
ACEH,MAKANAN,PERDESAAN,2015,SEPTEMBER,306737.0,0,0,0.018246556926476996,0,-0.5800168118200915,-0.7177207859332781,306737.0
ACEH,MAKANAN,PERDESAAN,2016,MARET,315697.0,0,0,0.0759591784158797,0,-0.5292153046835049,-0.7166299310280063,315697.0
ACEH,MAKANAN,PERDESAAN,2016,SEPTEMBER,324854.0,0,0,0.1349407046411543,0,-0.47729684476724105,-0.7155150919244823,324854.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,MARET,296406.0,0,1,-0.04829686858769926,7,-0.5430624125345649,0.25271023250355196,296406.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,305428.0,0,1,0.009815103630759572,7,-0.49190937711198846,0.2538086357351773,305428.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,MARET,312801.0,0,1,0.057305634684483464,7,-0.45010586013452714,0.2547062778352409,312801.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,323548.0,0,1,0.12652857476781054,7,-0.389172400625945,0.25601469498557106,323548.0
ACEH,MAKANAN,PERKOTAAN,2017,MARET,330153.0,0,2,0.16907230969387135,5,-0.25619408115456666,1.228507623988884,330153.0
ACEH,MAKANAN,PERKOTAAN,2017,SEPTEMBER,347811.0,0,2,0.282809973785375,5,-0.15607655738025344,1.2306574360332245,347811.0
ACEH,MAKANAN,PERKOTAAN,2018,MARET,351777.0,0,2,0.3083555381633852,5,-0.1335900866990366,1.2311402854254465,351777.0
ACEH,MAKANAN,PERKOTAAN,2018,SEPTEMBER,360318.0,0,2,0.36336932166126334,5,-0.08516423039841314,1.232180128254233,360318.0
ACEH,MAKANAN,PERDESAAN,2017,MARET,331267.0,0,0,0.17624774053529932,0,-0.4409363464115569,-0.7147343271356977,331267.0
ACEH,MAKANAN,PERDESAAN,2017,SEPTEMBER,346070.0,0,0,0.2715959476678471,0,-0.3570061332259663,-0.7129321033452133,346070.0
ACEH,MAKANAN,PERDESAAN,2018,MARET,353915.0,0,0,0.32212669717503056,0,-0.3125264654261313,-0.7119769965671041,353915.0
ACEH,MAKANAN,PERDESAAN,2018,SEPTEMBER,362463.0,0,0,0.3771855686584473,0,-0.26406092044805735,-0.7109363015079229,362463.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2017,MARET,330958.0,0,1,0.17425742803080987,7,-0.3471591006391027,0.2569168417320069,330958.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2017,SEPTEMBER,346552.0,0,1,0.274700577529219,7,-0.2587440669016103,0.25881536755709733,346552.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2018,MARET,353291.0,0,1,0.3181074253213043,7,-0.22053521013894767,0.25963582193283696,353291.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2018,SEPTEMBER,361835.0,0,1,0.3731405322415562,7,-0.17209234440513116,0.26067603000322137,361835.0
ACEH,MAKANAN,PERKOTAAN,2019,MARET,364040.0,0,2,0.38734324768621387,5,-0.064061193616898,1.2326332713298382,364040.0
ACEH,MAKANAN,PERKOTAAN,2019,SEPTEMBER,377620.0,0,2,0.4748139396310898,5,0.012934840636991018,1.234286598295641,377620.0
ACEH,MAKANAN,PERKOTAAN,2020,MARET,398026.0,0,2,0.606251858616888,5,0.1286330052161414,1.2367709716435182,398026.0
ACEH,MAKANAN,PERKOTAAN,2020,SEPTEMBER,399504.0,0,2,0.615771864706323,5,0.13701298596925238,1.2369509140040083,399504.0
ACEH,MAKANAN,PERDESAAN,2019,MARET,372626.0,0,0,0.4426468825196973,0,-0.20643863060105622,-0.7096989847219543,372626.0
ACEH,MAKANAN,PERDESAAN,2019,SEPTEMBER,387367.0,0,0,0.5375957389231889,0,-0.12285994570145548,-0.7079043092578232,387367.0
ACEH,MAKANAN,PERDESAAN,2020,MARET,396615.0,0,0,0.5971634089604653,0,-0.07042553297833565,-0.7067783911591675,396615.0
ACEH,MAKANAN,PERDESAAN,2020,SEPTEMBER,397816.0,0,0,0.6048992190507301,0,-0.06361608989004985,-0.7066321727728694,397816.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2019,MARET,370093.0,0,1,0.4263314728955168,7,-0.1252710446357191,0.26168141837462044,370093.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2019,SEPTEMBER,384381.0,0,1,0.5183624925205822,7,-0.044260784148269394,0.2634209423574916,384381.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2020,MARET,397032.0,0,1,0.5998493646704074,7,0.02746799562683755,0.26496116617519194,397032.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2020,SEPTEMBER,398316.0,0,1,0.608119789446344,7,0.03474803303346441,0.2651174895790278,398316.0
ACEH,MAKANAN,PERKOTAAN,2021,MARET,418047.0,0,2,0.7352099383980634,5,0.2421482925355164,1.2392084723196843,418047.0
ACEH,MAKANAN,PERKOTAAN,2021,SEPTEMBER,426126.0,0,2,0.7872479148503941,5,0.2879546961244096,1.2401920679424179,426126.0
ACEH,MAKANAN,PERKOTAAN,2022,MARET,448528.0,0,2,0.9315423508554833,5,0.4149698035880047,1.2429194486999962,448528.0
ACEH,MAKANAN,PERKOTAAN,2022,SEPTEMBER,481276.0,0,2,1.1424768294866172,5,0.6006447763233775,1.2469064259810057,481276.0
ACEH,MAKANAN,PERDESAAN,2021,MARET,406917.0,0,0,0.663520041391696,0,-0.012015139393389718,-0.7055241515125034,406917.0
ACEH,MAKANAN,PERDESAAN,2021,SEPTEMBER,414738.0,0,0,0.7138962035198899,0,0.03232845294090081,-0.7045719666671761,414738.0
ACEH,MAKANAN,PERDESAAN,2022,MARET,434104.0,0,0,0.838635336082811,0,0.14213001401312597,-0.702214210406518,434104.0
ACEH,MAKANAN,PERDESAAN,2022,SEPTEMBER,462138.0,0,0,1.0192062770240962,0,0.3010774973911471,-0.6988011494227687,462138.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2021,MARET,410420.0,0,1,0.6860833575833676,7,0.1033754261563713,0.2665911176787389,410420.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2021,SEPTEMBER,418296.0,0,1,0.7368137824550791,7,0.14803085809920113,0.2675499986200248,418296.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2022,MARET,438658.0,0,1,0.8679682912460632,7,0.26347955099152,0.27002901509113497,438658.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2022,SEPTEMBER,468255.0,0,1,1.0586067352440376,7,0.431288949063122,0.27363236694731063,468255.0
ACEH,NONMAKANAN,PERKOTAAN,2015,MARET,116717.0,1,2,-1.2056990162226635,1,-1.0015402665333166,0.9670152100081977,116717.0
ACEH,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,118196.0,1,2,-1.1961725689924374,1,-0.9931546159691411,0.9671952741158871,118196.0
ACEH,NONMAKANAN,PERKOTAAN,2016,MARET,121727.0,1,2,-1.1734289008586114,1,-0.9731345131009173,0.9676251634764357,121727.0
ACEH,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,125719.0,1,2,-1.1477158668200294,1,-0.9505006273320273,0.968111178295838,125719.0
ACEH,NONMAKANAN,PERDESAAN,2015,MARET,84638.0,1,0,-1.412324371664466,8,-1.374480570449316,-0.9802678959010594,84637.99999999997
ACEH,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,87682.0,1,0,-1.3927175390959678,8,-1.3572216655694307,-0.9798972974265452,87682.0
ACEH,NONMAKANAN,PERDESAAN,2016,MARET,88288.0,1,0,-1.3888142077764838,8,-1.3537857600644339,-0.9798235186238002,88288.0
ACEH,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,90972.0,1,0,-1.3715261858928278,8,-1.3385679871677154,-0.9794967491410156,90972.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2015,MARET,93744.0,1,1,-1.353671343619544,4,-1.2273220535059952,-0.007470477152424548,93744.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,96344.0,1,1,-1.3369243775623512,4,-1.212580544738682,-0.007153934434376841,96344.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2016,MARET,98155.0,1,1,-1.3252594715894372,4,-1.202312516901142,-0.0069334502565367995,98155.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,101217.0,1,1,-1.3055366984866972,4,-1.1849515554220986,-0.006560660332435964,101217.0
ACEH,NONMAKANAN,PERKOTAAN,2017,MARET,127858.0,1,2,-1.1339382666675926,1,-0.93837290146538,0.9683715955550318,127858.0
ACEH,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,132061.0,1,2,-1.1068661519220615,1,-0.9145426855619121,0.9688832990334759,132061.0
ACEH,NONMAKANAN,PERKOTAAN,2018,MARET,134561.0,1,2,-1.0907632999439916,1,-0.9003681579010341,0.9691876670315986,134561.0
ACEH,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,136434.0,1,2,-1.0786990432420216,1,-0.8897486017775044,0.9694156995357923,136434.0
ACEH,NONMAKANAN,PERDESAAN,2017,MARET,94463.0,1,0,-1.349040163390651,8,-1.3187746767420654,-0.979071729668437,94463.0
ACEH,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,96799.0,1,0,-1.3339936585023424,8,-1.305529998095741,-0.9787873282109911,96799.0
ACEH,NONMAKANAN,PERDESAAN,2018,MARET,100825.0,1,0,-1.3080616256768587,8,-1.2827033387506632,-0.9782971739868143,100825.0
ACEH,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,104778.0,1,0,-1.2825997961291344,8,-1.2602905756132827,-0.9778159073081825,104778.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2017,MARET,104496.0,1,1,-1.2844161978322608,4,-1.1663602449420911,-0.006161451266098128,104495.99999999997
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2017,SEPTEMBER,107572.0,1,1,-1.2646032487584433,4,-1.1489199061081468,-0.005786956881207894,107572.00000000003
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2018,MARET,111335.0,1,1,-1.2403652359610526,4,-1.1275844070729935,-0.0053288221704335115,111335.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2018,SEPTEMBER,114830.0,1,1,-1.2178534488957107,4,-1.107768417403086,-0.004903315709057998,114830.0
ACEH,NONMAKANAN,PERKOTAAN,2019,MARET,137577.0,1,2,-1.071336819317648,1,-0.8832680077309509,0.9695548565845338,137576.99999999997
ACEH,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,140281.0,1,2,-1.0539199746181676,1,-0.8679368386129453,0.9698840610113035,140281.0
ACEH,NONMAKANAN,PERKOTAAN,2020,MARET,143425.0,1,2,-1.0336690279705467,1,-0.8501109526266252,0.9702668342057426,143425.0
ACEH,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,144182.0,1,2,-1.0287930843915871,1,-0.8458189056509113,0.9703589968355741,144182.0
ACEH,NONMAKANAN,PERDESAAN,2019,MARET,106943.0,1,0,-1.2686547263161259,8,-1.2480154346589627,-0.9775523246218083,106943.0
ACEH,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,110248.0,1,0,-1.2473667560011175,8,-1.2292767090912822,-0.97714995012829,110247.99999999997
ACEH,NONMAKANAN,PERDESAAN,2020,MARET,116270.0,1,0,-1.2085782061563424,8,-1.1951331068617588,-0.9764167884944119,116270.00000000003
ACEH,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,116847.0,1,0,-1.2048616679198039,8,-1.1918616258776282,-0.9763465403604452,116847.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2019,MARET,116842.0,1,1,-1.20489387362376,4,-1.0963607575416114,-0.004658360344168777,116842.0
